直播,#genre#
CCTV-1,http://cntv.sbs/live?id=cctv1
CCTV-2,http://cntv.sbs/live?id=cctv2
CCTV-3,http://cntv.sbs/live?id=cctv3
CCTV-4,http://cntv.sbs/live?id=cctv4
CCTV-5,http://cntv.sbs/live?id=cctv5
CCTV-5+,http://cntv.sbs/live?id=cctv5p
CCTV-6,http://cntv.sbs/live?id=cctv6
CCTV-7,http://cntv.sbs/live?id=cctv7
CCTV-8,http://cntv.sbs/live?id=cctv8
CCTV-9,http://cntv.sbs/live?id=cctv9
CCTV-10,http://cntv.sbs/live?id=cctv10
CCTV-11,http://cntv.sbs/live?id=cctv11
CCTV-12,http://cntv.sbs/live?id=cctv12
CCTV-13,http://cntv.sbs/live?id=cctv13
CCTV-14,http://cntv.sbs/live?id=cctv14
CCTV-15,http://cntv.sbs/live?id=cctv15
CCTV-16,http://cntv.sbs/live?id=cctv16
CCTV-16 4K,http://cntv.sbs/live?id=cctv164k
CCTV-17,http://cntv.sbs/live?id=cctv17
CCTV-4K,http://cntv.sbs/live?id=cctv4k
CGTN,http://cntv.sbs/live?id=cgtn
北京卫视,http://cntv.sbs/live?id=bjws
东方卫视,http://cntv.sbs/live?id=dfws
天津卫视,http://cntv.sbs/live?id=tjws
重庆卫视,http://cntv.sbs/live?id=cqws
黑龙江卫视,http://cntv.sbs/live?id=hljws
吉林卫视,http://cntv.sbs/live?id=jlws
辽宁卫视,http://cntv.sbs/live?id=lnws
内蒙古卫视,http://cntv.sbs/live?id=nmws
宁夏卫视,http://cntv.sbs/live?id=nxws
甘肃卫视,http://cntv.sbs/live?id=gsws
青海卫视,http://cntv.sbs/live?id=qhws
陕西卫视,http://cntv.sbs/live?id=sxws
河北卫视,http://cntv.sbs/live?id=hbws
山西卫视,http://cntv.sbs/live?id=sxiws
山东卫视,http://cntv.sbs/live?id=sdws
安徽卫视,http://cntv.sbs/live?id=ahws
河南卫视,http://cntv.sbs/live?id=hnws
湖北卫视,http://cntv.sbs/live?id=hubws
湖南卫视,http://cntv.sbs/live?id=hunws
江西卫视,http://cntv.sbs/live?id=jxws
江苏卫视,http://cntv.sbs/live?id=jsws
浙江卫视,http://cntv.sbs/live?id=zjws
东南卫视,http://cntv.sbs/live?id=dnws
厦门卫视,http://cntv.sbs/live?id=xmws
广东卫视,http://cntv.sbs/live?id=gdws
深圳卫视,http://cntv.sbs/live?id=szws
广西卫视,http://cntv.sbs/live?id=gxws
云南卫视,http://cntv.sbs/live?id=ynws
贵州卫视,http://cntv.sbs/live?id=gzws
四川卫视,http://cntv.sbs/live?id=scws
康巴卫视,http://cntv.sbs/live?id=kbws
新疆卫视,http://cntv.sbs/live?id=xjws
兵团卫视,http://cntv.sbs/live?id=btws
西藏卫视,http://cntv.sbs/live?id=xzws
海南卫视,http://cntv.sbs/live?id=hinws
三沙卫视,http://cntv.sbs/live?id=ssws
北京纪实科教,http://cntv.sbs/live?id=bjjskj
五星体育,http://cntv.sbs/live?id=wxty
东方财经,http://cntv.sbs/live?id=dfcj
第一财经,http://cntv.sbs/live?id=dycj
哈哈炫动,http://cntv.sbs/live?id=hhxd
法治天地,http://cntv.sbs/live?id=fztd
欢笑剧场4K,http://cntv.sbs/live?id=hxjc
都市剧场,http://cntv.sbs/live?id=dsjc
七彩戏剧,http://cntv.sbs/live?id=qcxj
动漫秀场,http://cntv.sbs/live?id=dmxc
劲爆体育,http://cntv.sbs/live?id=jbty
新视觉,http://cntv.sbs/live?id=xsj
游戏风云,http://cntv.sbs/live?id=yxfy
生活时尚,http://cntv.sbs/live?id=shss
金色学堂,http://cntv.sbs/live?id=jspd
乐游,http://cntv.sbs/live?id=qjs
